year,value
2013,85
2013,66
2013,53
2013,47
2013,46
2013,45
2013,42
2013,40
2013,40
2013,38
2013,38
2013,36
2013,34
2013,34
2013,31
2013,30
2013,30
2013,30
2013,28
2013,28
2013,27
2013,26
2013,26
2013,26
2013,26
2013,26
2013,25
2013,25
2013,25
2013,25
2013,25
2013,25
2013,24
2013,24
2013,24
2013,24
2013,24
2013,24
2013,24
2013,24
2013,23
2013,23
2013,23
2013,23
2013,22
2013,22
2013,22
2013,22
2013,22
2013,22
2013,22
2013,22
2013,22
2013,22
2013,22
2013,22
2013,22
2013,22
2013,21
2013,21
2013,21
2013,21
2013,21
2013,21
2013,21
2013,21
2013,21
2013,21
2013,21
2013,21
2013,21
2013,21
2013,20
2013,20
2013,20
2013,20
2013,20
2013,20
2013,20
2013,20
2013,20
2013,20
2013,20
2013,20
2013,19
2013,19
2013,19
2013,19
2013,19
2013,19
2013,19
2013,19
2013,19
2013,19
2013,19
2013,18
2013,18
2013,18
2013,18
2013,18
