year,value
2015,49
2015,47
2015,42
2015,41
2015,40
2015,39
2015,38
2015,36
2015,36
2015,35
2015,34
2015,33
2015,31
2015,30
2015,30
2015,29
2015,29
2015,28
2015,27
2015,26
2015,26
2015,26
2015,25
2015,25
2015,25
2015,24
2015,24
2015,24
2015,24
2015,24
2015,23
2015,23
2015,23
2015,23
2015,23
2015,23
2015,22
2015,22
2015,22
2015,22
2015,22
2015,22
2015,22
2015,21
2015,21
2015,21
2015,21
2015,21
2015,21
2015,21
2015,20
2015,20
2015,20
2015,20
2015,20
2015,20
2015,20
2015,19
2015,19
2015,19
2015,19
2015,19
2015,19
2015,19
2015,19
2015,19
2015,19
2015,18
2015,18
2015,18
2015,18
2015,18
2015,18
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,17
2015,16
2015,16
2015,16
2015,16
2015,16
2015,16
