latitude,longitude,response_time
41.93738729,-87.70970733,0
41.77882758,-87.70543427,0
41.86997871,-87.62659324,1
41.79968009,-87.72319987,1
41.93320562,-87.72687055,0
41.79811939,-87.66970576,0
41.79415782,-87.77179678,0
41.96543515,-87.66661852,0
41.93860719,-87.75542532,0
41.77868639,-87.71799993,0
41.96548895,-87.6591587,3
41.90988549,-87.71660987,5
41.93189396,-87.67787001,5
41.91777492,-87.68217565,0
41.91777347,-87.68225084,0
41.91777201,-87.68232602,0
41.91777065,-87.68240068,0
41.91777065,-87.68240068,0
41.92491767,-87.69735362,0
41.92490055,-87.69726811,0
41.93205929,-87.71413941,0
41.93190693,-87.72660679,0
41.94019483,-87.78628163,0
41.94004709,-87.78719518,0
41.94100377,-87.78723375,0
41.94212051,-87.78757412,0
41.93824095,-87.78377602,0
41.93824281,-87.7836294,0
41.90591217,-87.67025688,1
41.80064449,-87.70860907,0
41.6991936,-87.53513476,0
41.83127481,-87.67643428,1
41.83137895,-87.67626402,0
41.9396665,-87.70410568,2
41.93823705,-87.7840688,1
41.86090826,-87.64717896,3
41.80832246,-87.68478498,0
41.793165,-87.71831811,0
41.96248316,-87.70843059,0
41.84458525,-87.7079933,0
41.93841294,-87.78694378,0
41.9184173,-87.69024017,0
41.96802328,-87.73796319,1
41.7975392,-87.70381665,0
41.93851961,-87.76236416,0
41.84981508,-87.68572099,0
41.83050205,-87.67505256,0
41.9697222,-87.70591916,1
41.90956287,-87.67596656,0
41.91021839,-87.677593,0
41.91027897,-87.67761701,0
41.9244744,-87.7366331,0
41.93852705,-87.76165481,0
41.93548292,-87.77626124,0
41.93665222,-87.76574057,0
41.93833243,-87.79177569,0
41.92275371,-87.72691963,3
41.93027023,-87.71183038,3
41.82634907,-87.6844724,3
42.00776134,-87.66804558,3
42.0077655,-87.66777445,3
42.00802254,-87.66597876,3
42.00802254,-87.66597876,3
42.00680519,-87.66572328,3
41.9553126,-87.71281067,3
41.95566675,-87.7218534,3
41.92105639,-87.78278278,3
41.92933018,-87.78091716,3
41.84786156,-87.72065478,3
41.83652738,-87.64881732,3
41.94185701,-87.70783876,3
41.82893823,-87.68513907,3
41.97029669,-87.66780791,3
41.8887898,-87.62036794,3
41.8906081,-87.62145605,3
41.8905272,-87.62145375,3
41.88975266,-87.61430972,3
41.88895563,-87.62034373,3
41.88892416,-87.62064387,3
41.91322699,-87.66761595,3
NA,NA,3
41.89066458,-87.61403705,3
NA,NA,3
41.89101413,-87.61349309,3
41.89063212,-87.61403652,3
41.95525564,-87.71280893,3
41.88819837,-87.61382202,3
41.88736935,-87.61360516,3
41.88624307,-87.6136296,3
41.93351409,-87.72347719,3
41.82722424,-87.68257714,3
41.94648681,-87.71033291,2
41.95560766,-87.71277304,2
41.9153943,-87.7135589,2
41.97950373,-87.68337882,2
41.8334486,-87.67796771,2
41.92166327,-87.66869924,2
41.93419596,-87.76069765,2
41.82637705,-87.68506514,2
41.96836324,-87.6948685,2
41.81398889,-87.68502706,2
41.84489963,-87.68796066,2
41.92312902,-87.77919458,2
41.81709825,-87.70376118,2
41.77875807,-87.72355955,2
41.77681598,-87.7301851,2
41.96841797,-87.69487023,2
41.95729474,-87.65636125,2
41.81558109,-87.68507122,2
41.93797461,-87.75079928,2
41.83726054,-87.70937451,2
41.92066025,-87.71702193,2
41.8445931,-87.71464541,2
41.92048392,-87.71701701,2
41.92060148,-87.71702029,2
41.79844826,-87.68430032,2
41.78101741,-87.7030476,2
41.79614627,-87.70377801,2
41.81557635,-87.70205453,2
41.81369435,-87.70378008,2
41.96742732,-87.76272026,2
41.93888997,-87.71841919,2
41.96884148,-87.69610434,2
41.92065416,-87.77550771,2
41.96845195,-87.69495943,2
41.89625011,-87.66295411,2
41.96830314,-87.6951608,2
41.91774303,-87.73620101,2
41.96798012,-87.69485574,2
41.96884571,-87.69517796,2
41.96976023,-87.69582821,2
41.96891142,-87.68859798,2
41.96865469,-87.69709302,2
41.96866318,-87.69610498,2
41.97639504,-87.67926724,2
41.9762007,-87.67955778,2
41.9762657,-87.6795593,2
41.92667671,-87.70326716,1
41.9577788,-87.65608028,1
41.92786772,-87.75785765,1
41.93675808,-87.7456786,1
41.93158322,-87.73440337,1
41.85905667,-87.6614989,1
41.96866413,-87.69594843,1
41.93760604,-87.70282434,1
41.96953937,-87.69598109,1
41.85396591,-87.68805348,1
41.85244919,-87.69315693,1
41.92559667,-87.70151052,1
41.93194148,-87.72712996,1
41.84503151,-87.71587884,1
41.93542545,-87.71009391,1
41.93943804,-87.7079725,1
41.93740091,-87.70711858,1
41.94053226,-87.71881238,1
41.9386249,-87.70790102,1
41.93919792,-87.70286685,1
41.94169921,-87.70783437,1
41.94025771,-87.70779736,1
41.91071246,-87.66973718,1
41.8037505,-87.74442126,1
41.93961455,-87.70381008,1
41.97067408,-87.69192086,1
41.78977306,-87.59260602,1
41.77875116,-87.72392358,1
41.94233171,-87.76186183,1
41.92580075,-87.77350298,1
41.83046792,-87.70448411,1
41.82738354,-87.69488822,1
41.82729225,-87.70349817,1
41.79705061,-87.70408596,1
41.8814316,-87.62633899,1
41.94218699,-87.76105639,1
NA,NA,1
41.96866668,-87.69563455,1
41.96954501,-87.6954318,1
41.97542683,-87.66713718,1
41.88803646,-87.67941816,1
