year,value
2014,59
2014,41
2014,40
2014,33
2014,33
2014,32
2014,32
2014,32
2014,32
2014,32
2014,31
2014,29
2014,29
2014,29
2014,29
2014,29
2014,28
2014,28
2014,28
2014,28
2014,27
2014,27
2014,27
2014,26
2014,25
2014,25
2014,25
2014,25
2014,25
2014,25
2014,25
2014,24
2014,24
2014,24
2014,24
2014,24
2014,24
2014,24
2014,23
2014,23
2014,23
2014,23
2014,23
2014,23
2014,22
2014,22
2014,22
2014,21
2014,21
2014,21
2014,21
2014,21
2014,21
2014,21
2014,21
2014,20
2014,20
2014,20
2014,20
2014,20
2014,20
2014,20
2014,20
2014,20
2014,20
2014,19
2014,19
2014,19
2014,19
2014,19
2014,19
2014,19
2014,19
2014,19
2014,19
2014,18
2014,18
2014,18
2014,18
2014,18
2014,18
2014,18
2014,18
2014,17
2014,17
2014,17
2014,17
2014,17
2014,17
2014,17
2014,17
2014,17
2014,17
2014,17
2014,17
2014,17
2014,17
2014,17
2014,17
2014,17
