year,value
2012,33
2012,31
2012,30
2012,29
2012,28
2012,27
2012,27
2012,27
2012,26
2012,26
2012,26
2012,26
2012,25
2012,25
2012,25
2012,25
2012,24
2012,24
2012,24
2012,23
2012,23
2012,22
2012,22
2012,22
2012,22
2012,22
2012,22
2012,21
2012,21
2012,21
2012,21
2012,21
2012,21
2012,21
2012,20
2012,20
2012,20
2012,20
2012,20
2012,20
2012,20
2012,19
2012,19
2012,19
2012,19
2012,19
2012,19
2012,19
2012,19
2012,19
2012,18
2012,18
2012,18
2012,18
2012,18
2012,18
2012,18
2012,18
2012,18
2012,18
2012,18
2012,18
2012,18
2012,18
2012,18
2012,18
2012,18
2012,18
2012,18
2012,18
2012,17
2012,17
2012,17
2012,17
2012,17
2012,17
2012,17
2012,17
2012,17
2012,17
2012,17
2012,17
2012,17
2012,16
2012,16
2012,16
2012,16
2012,16
2012,16
2012,16
2012,16
2012,16
2012,16
2012,16
2012,16
2012,16
2012,16
2012,16
2012,16
2012,16
